feature_set,model,n_train,n_test,prevalence_test,roc_auc,average_precision,accuracy,precision,recall,f1
pre_state_only,xgboost,1344,576,0.06597222222222222,0.7989141068284092,0.2501922866270856,0.8315972222222222,0.18947368421052632,0.47368421052631576,0.2706766917293233
transition_diagnostics,xgboost,1344,576,0.06597222222222222,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
