feature_set,model,n_train,n_test,prevalence_test,roc_auc,average_precision,accuracy,precision,recall,f1
pre_state_only,logistic_regression,1344,576,0.06597222222222222,0.8209254549011935,0.2558478851148045,0.7256944444444444,0.16666666666666666,0.7894736842105263,0.27522935779816515
pre_state_only,random_forest,1344,576,0.06597222222222222,0.8131481119154764,0.20938707930338007,0.9184027777777778,0.23529411764705882,0.10526315789473684,0.14545454545454545
pre_state_only,xgboost,1344,576,0.06597222222222222,0.7989141068284092,0.2501922866270856,0.8315972222222222,0.18947368421052632,0.47368421052631576,0.2706766917293233
transition_diagnostics,logistic_regression,1344,576,0.06597222222222222,0.9736352964194873,0.6063324221948195,0.921875,0.4578313253012048,1.0,0.628099173553719
transition_diagnostics,random_forest,1344,576,0.06597222222222222,1.0,1.0,1.0,1.0,1.0,1.0
transition_diagnostics,xgboost,1344,576,0.06597222222222222,1.0,0.9999999999999998,1.0,1.0,1.0,1.0
